Name	Freq	Offset att	All	None	20170327
K000	57467572	0	1	0	1
K001	58473784	0	1	0	1
K002	67649716	0	1	0	1
K003	69270057	0	1	0	1
K004	71566540	0	1	0	1
K005	80438408	0	1	0	1
K006	80990524	0	1	0	1
K007	81818699	0	1	0	0
K008	82750895	0	1	0	0
K009	83238998	0	1	0	0
K010	83869130	0	1	0	0
K011	84455254	0	1	0	0
K012	84931354	0	1	0	0
K013	85363445	0	1	0	0
K014	85731522	0	1	0	0
K015	86009581	0	1	0	1
K016	86231628	0	1	0	0
K017	93463150	0	1	0	0
K018	95011476	0	1	0	0
K019	95457570	0	1	0	0
K020	96241735	0	1	0	0
K021	96921878	0	1	0	0
K022	97700042	0	1	0	0
K023	98776269	0	1	0	0
K024	99180354	0	1	0	0
K025	99764477	0	1	0	0
K026	100214571	0	1	0	0
K027	100562645	0	1	0	0
K028	100858707	0	1	0	0
K029	101032744	0	1	0	0
K030	110008633	0	1	0	0
K031	110794799	0	1	0	0
K032	112065066	0	1	0	0
K033	112851232	0	1	0	0
K034	113735418	0	1	0	0
K035	114539587	0	1	0	0
K036	115325753	0	1	0	0
K037	116065909	0	1	0	0
K038	116756054	0	1	0	0
K039	117596231	0	1	0	0
K040	117630238	0	1	0	0
K041	117870288	0	1	0	0
K042	118098336	0	1	0	0
K043	119548642	0	1	0	0
K044	128990630	0	1	0	0
K045	130464940	0	1	0	0
K046	131225100	0	1	0	0
K047	132063276	0	1	0	0
K048	133609602	0	1	0	1
K049	135001895	0	1	0	0
K050	135493999	0	1	0	0
K051	136108128	0	1	0	0
K052	136772268	0	1	0	0
K053	137522426	0	1	0	0
K054	138082544	0	1	0	0
K055	138494630	0	1	0	0
K056	138716677	0	1	0	0
K057	140399031	0	1	0	1
